ticker,quarter_ended,total_income,net_profit_loss,earnings_per_share
DEVYANI,31-Dec-24,"88,649.40",430.8,0.04
GRSE,31-Mar-25,"1,75,597.38","24,424.93",21.32
CYIENT,31-Mar-25,"65,300.00","11,940.00",10.84
GSPL,31-Dec-24,"30,165.34","13,557.89",2.4
FINCABLES,31-Dec-24,"1,22,685.00","12,394.00",8.1
ELGIEQUIP,31-Dec-24,"51,106.20","8,009.80",2.53
KIMS,31-Mar-25,"37,010.00",-,-
KPIL,31-Mar-25,"7,07,993.00","21,817.00",13.42
ASTERDM,31-Dec-24,"61,361.00","4,982.00",1
RAMCOCEM,31-Dec-24,"1,98,783.00","32,532.00",13.76
JINDALSAW,31-Mar-25,"4,44,946.00","47,425.00",7.45
BIKAJI,31-Mar-25,"59,359.61","4,900.68",1.95
AARTIIND,31-Mar-25,"1,94,609.00",-,-
CIEINDIA,31-Mar-25,"2,30,876.30","20,639.60",5.43
CHAMBLFERT,31-Mar-25,"2,50,400.00","13,031.00",3.25
VINATIORGA,31-Mar-25,"65,462.00","12,304.00",11.87
SIGNATURE,31-Mar-25,"57,043.40","6,112.60",4.34
SWANENERGY,31-Dec-24,"3,213.30",157.26,0.05
CONCORDBIO,31-Dec-24,"25,894.96","7,408.88",7.08
NCC,31-Mar-25,"5,44,517.00","21,440.00",3.41
VGUARD,31-Mar-25,"1,54,258.00","9,113.00",2.08
PTCIL,31-Dec-24,"6,862.41",812.86,5.43
SCHNEIDER,31-Dec-24,"86,453.00","11,054.00",4.62
IIFL,31-Mar-25,"2,59,435.00","25,136.00",4.89
RELAXO,31-Mar-25,"70,324.00","5,622.00",2.26
HFCL,31-Dec-24,"98,195.00","7,848.00",0.54
BLUEDART,31-Dec-24,"1,53,127.00","7,912.00",33.25
CHALET,31-Mar-25,"50,482.10","13,343.40",6.12
CELLO,31-Dec-24,"29,629.59","2,661.44",1.23
AFCONS,31-Dec-24,"3,32,382.00","16,670.00",4.53
AADHARHFC,31-Mar-25,"83,384.00","24,484.00",5.68
WELCORP,31-Dec-24,"2,48,121.00","15,591.00",5.94
TBOTEK,31-Dec-24,"14,607.20","1,135.70",1.07
BATAINDIA,31-Dec-24,"92,819.80","5,816.70",4.53
RRKABEL,31-Mar-25,"2,22,976.96","12,912.87",11.43
TRIDENT,31-Dec-24,"1,67,784.00","7,794.00",0.15
SAGILITY,31-Mar-25,"46,385.30","8,177.80",0.17
JYOTHYLAB,31-Mar-25,"68,138.00","7,700.00",2.1
FINPIPE,31-Dec-24,"1,04,966.00","7,096.00",1.15
TITAGARH,31-Dec-24,"92,466.00","6,894.00",5.12
IDFC,30-Jun-24,765,33,-
TECHNOE,31-Dec-24,"71,976.65","10,456.52",8.99
SONATSOFTW,31-Mar-25,"2,62,841.00","10,753.00",3.87
CREDITACC,31-Mar-25,"1,40,771.00","4,721.00",2.96
KFINTECH,31-Mar-25,"29,270.10","8,505.30",4.95
GESHIP,31-Mar-25,"1,37,324.00","36,309.00",25.43
ERIS,31-Mar-25,"71,325.00","10,235.00",6.9
AMBER,31-Mar-25,"2,69,485.11","7,959.24",23.53
KARURVYSYA,31-Mar-25,"3,02,526.00","51,336.00",6.38
CENTURYPLY,31-Dec-24,"1,01,692.85","6,384.13",2.87
KIRLOSENG,31-Mar-25,"1,42,096.00","12,113.00",8.35
JAIBALAJI,31-Mar-25,"1,60,823.00","7,548.00",0.83
IFCI,31-Mar-25,"41,591.00","26,043.00",0.87
ASTRAZEN,31-Dec-24,"44,827.10","3,085.10",12.34
LMW,31-Mar-25,"82,247.00","4,912.00",45.98
BBTC,31-Mar-25,"4,56,998.15","58,477.75",44.24
BEML,31-Dec-24,"88,058.55","2,477.07",5.95
BSOFT,31-Dec-24,"67,824.70","5,788.70",2.08
RKFORGE,31-Dec-24,"95,647.71","9,954.55",5.51
DCMSHRIRAM,31-Mar-25,"3,04,060.00","17,891.00",11.47
NAVINFLUOR,31-Mar-25,"71,277.00","9,496.00",19.15
WOCKPHARMA,31-Dec-24,"33,100.00","-2,200.00",-1.4
ASAHIINDIA,31-Mar-25,"1,18,864.00","15,710.00",3.8
CGCL,31-Mar-25,"1,77,992.00","30,582.50",3.71
ZENSARTECH,31-Mar-25,"1,40,490.00","17,640.00",7.77
IEX,31-Mar-25,"17,459.48","11,711.27",1.32
HBLENGINE,31-Dec-24,"45,618.75","6,147.99",2.2
NEWGEN,31-Mar-25,"44,400.81","10,833.92",7.73
VENTIVE,31-Mar-25,"71,723.90","15,112.20",5.48
APTUS,31-Mar-25,"36,985.60","16,963.49",3.4
SOBHA,31-Dec-24,"1,28,269.20","2,754.50",2.73
ANANDRATHI,31-Mar-25,"24,139.03","7,373.51",8.87
BLS,31-Mar-25,"71,760.61","14,522.09",3.28
JUBLPHARMA,31-Mar-25,"23,520.00","1,360.00",0.86
WELSPUNLIV,31-Dec-24,"2,00,081.00","8,782.00",0.92
TTML,31-Dec-24,"33,373.00","-31,511.00",-1.61
NEULANDLAB,31-Mar-25,"33,582.38","2,773.39",21.62
INDIAMART,31-Mar-25,"48,390.00","23,130.00",38.55
PCBL,31-Mar-25,"2,10,726.00","10,019.00",2.65
ACE,31-Dec-24,"90,294.00","10,715.00",9.01
AKZOINDIA,31-Mar-25,"1,02,492.40","10,842.90",23.8
MANAPPURAM,31-Mar-25,"1,74,177.00","41,434.00",4.9
MGL,31-Mar-25,"2,08,541.00","25,219.00",25.53
