ticker,quarter_ended,total_income,net_profit_loss,earnings_per_share
MVGJL,31-Dec-24,"50,117.10","2,524.30",5.17
MUFTI,31-Dec-24,"15,699.40","1,834.90",2.81
DHUNINV,31-Dec-24,338.55,227.04,3.72
MAXIND,31-Dec-24,466,-95,-0.22
PAKKA,31-Dec-24,"11,143.53","1,275.08",3.12
ROSSELLIND,31-Dec-24,"6,284.00",617,1.64
CREATIVE,31-Mar-25,"35,743.11",647.07,4.51
KOTHARIPET,31-Dec-24,"13,356.38","1,285.04",2.18
APTECHT,31-Mar-25,"12,228.60",494.38,0.85
INDORAMA,31-Mar-25,"1,22,123.00","5,107.00",1.96
HARDWYN,31-Dec-24,"3,474.81",393.54,0.08
NACLIND,31-Dec-24,"26,843.00","-2,814.00",-1.41
,,,,
SRHHYPOLTD,31-Dec-24,"15,102.22","2,351.80",13.71
NELCAST,31-Mar-25,"33,436.37","1,354.33",1.56
UNIENTER,31-Dec-24,555.38,-185.9,-0.27
SATIA,31-Dec-24,"38,182.56","1,979.92",1.98
VILAS,30-Sep-24,-,"1,433.36",-
VINYAS,30-Sep-24,-,701.59,-
MUNJALAU,31-Dec-24,"31,246.55",-268.2,-0.27
FAZE3Q,31-Dec-24,"17,079.00",879,3.61
ANUHPHR,31-Dec-24,"16,045.09","1,034.31",2.06
BAJAJHCARE,31-Dec-24,"12,516.59","1,172.12",4.66
ATL,31-Mar-25,"18,890.13",-241.56,-0.07
MAGADSUGAR,31-Mar-25,"35,602.84","7,150.55",50.75
BLAL,31-Mar-25,-,-41.86,0.1
ELIN,31-Dec-24,"22,696.20",282.8,0.57
GGBL,30-Sep-24,-,"1,251.64",-
SHALPAINTS,31-Dec-24,"14,899.00","-2,398.00",-2.86
JAYBARMARU,31-Dec-24,"59,182.49",384.88,0.36
GANESHBE,31-Mar-25,"10,498.60","-1,319.20",-1.83
DHARMAJ,31-Dec-24,"17,447.10",117.9,0.35
AGSTRA,31-Dec-24,"15,826.20","-13,228.90",-10.89
BASILIC,30-Sep-24,-,"1,031.61",-
SUTLEJTEX,31-Mar-25,"67,382.00","-2,778.00",-1.7
TREL,31-Mar-25,"2,816.07","3,253.42",1.32
NAHARSPING,31-Dec-24,"81,564.91",75.5,0.21
VALIANTORG,31-Dec-24,"19,190.05",464.6,1.18
ZEEMEDIA,31-Mar-25,"12,205.26","-2,268.08",-0.36
ZUARIIND,31-Dec-24,"24,942.37",-735.83,-2.47
SARTELE,30-Sep-24,-,142.08,-
INFOBEAN,31-Mar-25,"7,730.00","1,289.00",5.29
AIMTRON,31-Mar-25,"10,329.14","1,444.83",7.66
URJA,31-Dec-24,"1,468.29",36.92,0.01
STCINDIA,31-Dec-24,"2,724.25",183.16,0.31
KRYSTAL,31-Mar-25,"37,823.80","1,606.80",11.5
GANDHITUBE,31-Dec-24,"4,183.60","1,516.06",12.48
CELLECOR,31-Mar-25,"60,026.06","1,627.91",0.75
SSEGL,31-Mar-25,"25,931.71","2,632.05",10.9
THEINVEST,31-Mar-25,"9,557.00",684.65,0.67
KAMOPAINTS,31-Mar-25,1.9,-10.6,-
SASTASUNDR,31-Dec-24,30.17,-10.49,-0.03
DENTALKART,31-Mar-25,"7,299.49",431.86,2.6
KRITI,31-Dec-24,"21,055.51","-1,079.99",-2.18
KRISHNADEF,30-Sep-24,-,"1,060.07",-
ARIHANTCAP,31-Mar-25,"4,680.54",770.13,0.74
NINSYS,31-Dec-24,"2,209.60",604.79,3.26
EMKAYTOOLS,30-Sep-24,-,"5,499.60",-
AYMSYNTEX,31-Mar-25,"36,292.00",203,0.37
NCLIND,31-Dec-24,"34,618.34",335.84,0.74
ENIL,31-Mar-25,"16,506.13","1,254.26",2.63
APS,31-Mar-25,"27,099.00","2,570.88",13.02
RSWM,31-Mar-25,"1,26,455.00",159,0.34
ASIANTILES,31-Dec-24,"30,156.99",171.61,0.12
ORIENTPPR,31-Dec-24,"23,458.97","-1,050.97",-0.49
KOTYARK,30-Sep-24,-,"1,788.21",-
BODALCHEM,31-Dec-24,"43,621.10",726.8,0.57
DHANBANK,31-Mar-25,"39,371.00","2,898.00",0.85
BIRLAMONEY,31-Mar-25,"9,988.96",932.59,1.65
INNOVANA,31-Dec-24,"1,241.67",703.14,3.43
GVKPIL,31-Dec-24,104,-9,-
GHCLTEXTIL,31-Mar-25,"28,508.00","1,420.00",1.49
SICALLOG,31-Dec-24,704,-525,-0.8
RATNAVEER,31-Mar-25,"20,473.20","1,071.40",2.13
SHIVALIK,31-Dec-24,"4,162.73",401.59,2.58
AMBIKCO,31-Dec-24,"16,257.00","1,428.00",24.95
GFLLIMITED,31-Dec-24,82.28,38.6,0.04
ROHLTD,31-Dec-24,"5,786.28",796.99,2.91
LINC,31-Mar-25,"15,314.90","1,266.48",2.13
PRIMESECU,31-Mar-25,489,112,0.33
20MICRONS,31-Dec-24,"18,726.86","1,006.36",2.85
RUSHIL,31-Mar-25,"23,359.60","1,288.00",0.46
SBC,31-Dec-24,"5,409.88",327.38,0.1
RACLGEAR,31-Mar-25,"10,603.00",667,6.19
RITCO,31-Dec-24,"31,493.74","1,302.56",4.88
MINDTECK,31-Dec-24,"3,695.00",329,1.03
CHEMCON,31-Mar-25,"5,807.20",394.6,1.08
ESFL,31-Mar-25,"4,537.17",-361.39,-1.45
SARVESHWAR,31-Dec-24,"14,532.39",322.36,0.03
FILATFASH,31-Dec-24,"5,374.97",312.93,-
ZODIAC,31-Mar-25,"17,235.27",943.91,6.18
SILVERTUC,31-Mar-25,"8,567.19",921.33,7.27
GIRIRAJ,30-Sep-24,-,291.32,-
CSLFINANCE,31-Dec-24,"5,369.91","1,677.40",7.36
ESSARSHPNG,31-Dec-24,"7,840.00","5,832.00",2.82
MALLCOM,31-Mar-25,"15,867.00","3,072.93",49.25
TRACXN,31-Dec-24,"2,289.53",141.99,0.13
VHLTD,31-Mar-25,"3,660.60",996.39,1.62
STEL,31-Mar-25,"1,343.89",997.79,5.41
GARUDA,31-Dec-24,"6,262.21","1,286.93",1.43
VISAKAIND,31-Dec-24,"35,281.36","-1,030.89",-1.19
JAYAGROGN,31-Dec-24,"30,575.44","1,565.90",5.22
OSWALAGRO,31-Dec-24,"6,479.55","4,351.54",3.24
UGARSUGAR,31-Mar-25,"52,931.92","5,102.05",4.54
ALLETEC,30-Sep-24,-,946.1,-
ELDEHSG,31-Dec-24,"3,285.59",678.29,6.9
JPOLYINVST,31-Dec-24,780,664,6.34
ZUARI,31-Mar-25,687,"-2,285.00",-5.43
DBOL,31-Mar-25,"70,357.00","3,965.00",5.97
BHAGERIA,31-Dec-24,"16,961.35","1,293.70",2.96
DECCANCE,31-Dec-24,"11,875.55",81.07,0.58
MMP,31-Dec-24,"16,874.87",878.75,3.46
ONWARDTEC,31-Mar-25,"10,259.58",480.28,2.12
RUBYMILLS,31-Dec-24,"7,206.42","1,470.19",4.4
FOODSIN,31-Dec-24,"18,893.90",100.29,0.14
SJLOGISTIC,30-Sep-24,-,"1,231.21",-
JINDALPHOT,31-Dec-24,49,-89,-0.87
RADIANTCMS,31-Dec-24,"10,729.90","1,224.70",1.15
ONMOBILE,31-Dec-24,"8,243.80",431.7,0.41
REPRO,31-Mar-25,"12,700.00",113,0.79
COFFEEDAY,31-Dec-24,554.4,73.9,0.03
SHREEPUSHK,31-Mar-25,"22,189.05","1,653.87",5.12
GEECEE,31-Dec-24,"5,432.97","1,624.18",7.77
VMARCIND,31-Mar-25,"56,044.75","2,472.64",10.13
GSLSU,31-Dec-24,"4,251.10",217.7,0.51
SAKUMA,31-Dec-24,"48,138.43",247.39,0.02
HPAL,31-Mar-25,"6,768.18",411.81,0.45
SUKHJITS,31-Dec-24,"37,470.00","1,080.00",3.46
TIRUPATI,30-Sep-24,-,710.9,-
MAANALU,31-Dec-24,"18,356.00",305,0.56
GLOSTERLTD,31-Dec-24,"17,117.03","1,383.74",12.64
LIBERTSHOE,31-Dec-24,"16,012.08",237.1,1.39
SPENCERS,31-Mar-25,"42,313.24","-6,840.51",-7.59
NECLIFE,31-Dec-24,"45,555.51",784.04,0.35
ACL,31-Mar-25,"8,916.00","-4,991.00",-5.41
TPLPLASTEH,31-Dec-24,"9,106.15",693.35,0.89
SARLAPOLY,31-Mar-25,"10,132.87",621.22,0.74
WSI,31-Dec-24,"6,646.36","-2,373.74",-4.11
FOCUS,31-Dec-24,"4,633.67",593.04,0.89
TNPETRO,31-Mar-25,"46,063.00","2,688.00",2.99
CHEVIOT,31-Dec-24,"10,182.00",344.09,5.84
TRANSWORLD,31-Dec-24,"11,852.00","1,531.00",6.97
CHEMBOND,31-Dec-24,"1,253.35",-88.42,-0.66
RBL,31-Dec-24,"18,604.00",947,12.25
,,,,
HINDCOMPOS,31-Mar-25,"9,796.00",607,4.11
SPECIALITY,31-Mar-25,"10,252.00",266,0.55
DENORA,31-Mar-25,"2,150.40",334.07,6.29
DBEIL,31-Dec-24,"13,163.13","1,626.12",3.74
SURAJLTD,31-Dec-24,"6,412.93",684.07,3.73
DIGISPICE,31-Dec-24,135.95,"-2,233.75",-0.12
APEX,31-Dec-24,"23,306.09",-22.24,-0.07
ALBERTDAVD,31-Mar-25,"6,977.89","-1,032.79",-18.1
SCHAND,31-Dec-24,"3,452.20","-1,377.10",-3.91
TAC,31-Mar-25,"1,634.00",959,9.15
TOLINS,31-Dec-24,"4,323.80",538.6,1.78
MANBA,31-Dec-24,"6,886.90","1,295.91",2.58
NDL,31-Dec-24,"92,800.42",658,0.05
PARSVNATH,31-Dec-24,"1,687.58","2,962.39",0.68
WANBURY,31-Mar-25,"17,384.38","2,025.65",6.18
VRAJ,31-Dec-24,"12,097.10",749.7,2.48
VIKASLIFE,31-Dec-24,"11,143.42",-516.46,-0.03
CCCL,31-Mar-25,"5,555.18","5,592.40",-
BIL,31-Dec-24,"23,528.00",235.66,1.93
PASHUPATI,30-Sep-24,-,532.1,-
INDSWFTLAB,31-Dec-24,"1,521.83",463.64,0.78
DMCC,31-Mar-25,"12,562.64",647.02,2.59
KHAICHEM,31-Mar-25,"16,095.46",862.52,0.89
PVP,31-Dec-24,273.72,-8.48,-
ANNAPURNA,30-Sep-24,-,"1,219.33",-
JAYBEE,31-Mar-25,"21,478.42","1,097.45",5.32
AFFORDABLE,31-Dec-24,"3,475.42",446.78,3.97
PLASTIBLEN,31-Mar-25,"20,156.71",957.07,3.68
BIRLACABLE,31-Dec-24,"15,854.63",155.01,0.52
RPPINFRA,31-Dec-24,"35,618.00","1,813.00",4.76
RBMINFRA,30-Sep-24,-,990.17,-
EMAMIPAP,31-Dec-24,"45,580.00",170,0.08
INDOTHAI,31-Dec-24,555.65,133.45,1.33
VISHNUINFR,30-Sep-24,-,"2,182.45",-
RVTH,31-Dec-24,"4,226.00",20,0.65
NRL,31-Dec-24,"3,199.63",148.52,0.22
FOCE,30-Sep-24,-,32.58,-
TVSELECT,31-Mar-25,"11,486.00",-57,-0.31
MENONBE,31-Mar-25,"6,549.73",660.63,1.18
NITCO,31-Mar-25,"10,273.77",-194.05,-0.11
VINYLINDIA,31-Mar-25,"17,306.52",726.78,3.96
PYRAMID,31-Dec-24,"15,428.14",679.2,1.85
LOKESHMACH,31-Dec-24,"5,210.18",-410.34,-2.14
ASHIMASYN,31-Dec-24,300,"-1,152.00",-0.25
BALAJITELE,31-Dec-24,"8,828.88",-176.45,-0.17
BEDMUTHA,31-Dec-24,"28,401.79",210.46,0.65
HMVL,31-Mar-25,"25,407.00","4,517.00",6.13
SAKAR,31-Mar-25,"5,042.40",576.11,2.66
LGHL,31-Mar-25,"2,791.14",67.82,0.32
GOACARBON,31-Mar-25,"13,406.96",-653.94,-7.15
KHADIM,31-Dec-24,"16,460.50",116.8,0.64
DEEPENR,30-Jun-24,64.22,42.37,0.13
CONSOFINVT,31-Dec-24,"1,731.00","1,522.00",4.71
MBLINFRA,31-Dec-24,"5,101.00",202,0.18
NAHARPOLY,31-Dec-24,"17,707.36",658.68,2.68
RBZJEWEL,31-Mar-25,"13,737.48",856.91,2.14
NRAIL,31-Dec-24,"43,176.64","1,272.65",7.48
MEGATHERM,30-Sep-24,-,931.03,-
KRITINUT,31-Dec-24,"17,541.34",824.67,1.65
COOLCAPS,31-Mar-25,"16,159.40",688.02,5.96
DONEAR,31-Dec-24,"24,717.35","1,090.54",2.1
GANESHIN,31-Mar-25,"31,029.65","2,295.49",3.36
RSSOFTWARE,31-Mar-25,893.27,-180.57,-0.77
ADVANIHOTR,31-Dec-24,"3,607.40","1,191.62",1.29
SKMEGGPROD,31-Dec-24,"13,570.00",746,2.84
SILINV,31-Mar-25,125,-133,-1.26
ABSMARINE,30-Sep-24,-,706.1,-
CYBERTECH,31-Mar-25,"4,435.83",653.88,2.1
IRIS,31-Mar-25,"3,367.13",268.24,1.32
KNAGRI,31-Mar-22,-,"3,059.25",12.24
MOLDTECH,31-Dec-24,"2,926.78",46.99,0.16
RACE,31-Dec-24,"12,907.09",138.4,0.8
,,,,
PCCL,31-Mar-25,"12,199.39",118,0.48
DAVANGERE,31-Mar-25,"5,747.51",194.25,0.22
SUPREMEPWR,30-Sep-24,-,713.09,-
BCONCEPTS,31-Mar-25,"6,623.61",130.57,1.16
ALANKIT,31-Dec-24,"2,266.13",334.02,0.12
SREEL,31-Dec-24,"5,555.17",622.53,2.69
IITL,31-Dec-24,-444.45,-531.22,-2.35
INDOBORAX,31-Mar-25,"5,386.65","1,024.10",3.14
TGL,30-Sep-24,-,952,-
NBIFIN,31-Dec-24,66.57,33.67,1.37
MUNJALSHOW,31-Dec-24,"32,238.68",597.84,1.49
NAGAFERT,31-Dec-24,"-16,877.66",-262.7,-0.04
SRM,31-Dec-24,"15,133.05","1,416.04",6.17
NOVAAGRI,31-Dec-24,"4,344.81",558.18,0.62
KRONOX,31-Dec-24,"2,483.01",652.86,1.77
IZMO,31-Dec-24,"1,249.44",9.75,0.07
REMSONSIND,31-Dec-24,"7,675.57",358.07,1.03
DPWIRES,31-Dec-24,"15,762.85",495.6,3.2
VIKASECO,31-Dec-24,"6,236.25",-19.08,-
PAVNAIND,31-Dec-24,"7,663.12",98.27,0.81
NAHARINDUS,31-Dec-24,"44,602.91",483.59,1.12
ATMASTCO,30-Sep-24,-,"1,427.76",-
DRONE,30-Sep-24,-,101.97,-
SAHAJSOLAR,31-Mar-25,"23,194.76","2,284.11",22.56
AVG,31-Dec-24,"14,307.98",548.95,3.79
DICIND,31-Mar-25,"21,163.88",258.76,2.82
KORE,30-Sep-24,-,335.2,-
TARACHAND,31-Mar-25,"8,211.02",785.79,1
MANAKSIA,31-Dec-24,"3,267.45",12.15,0.02
BALAJEE,31-Dec-24,"8,658.45",304.26,0.35
SPCL,30-Sep-24,-,646.25,-
FCSSOFT,31-Dec-24,799.39,49.01,-
GENUSPAPER,31-Dec-24,"20,960.79",157.21,0.06
EFFWA,31-Mar-25,"6,085.80",476.39,2.36
MEDICAMEQ,31-Dec-24,"4,128.31",252.27,1.98
ASMS,31-Dec-24,876.93,-32.5,-0.01
SGIL,31-Mar-25,"9,790.96",383.51,2.53
WTICAB,30-Sep-24,-,"1,021.97",-
RMDRIP,31-Mar-25,"9,701.79","4,095.98",8.52
KAYA,31-Dec-24,"5,946.58","-1,539.81",-11.77
PRECOT,31-Dec-24,"25,100.46",923.29,7.69
ORIENTCER,31-Dec-24,"7,629.47",240.4,0.2
AURUM,31-Mar-25,"1,154.00",-48,-0.09
EMKAY,31-Dec-24,"7,884.76",985.8,3.97
XTGLOBAL,31-Dec-24,"1,770.38",115.61,0.09
MIRZAINT,31-Dec-24,"11,466.83",-696.16,-0.5
,,,,
AARTISURF,31-Mar-25,"20,319.52",983.64,11.63
HINDMOTORS,31-Dec-24,630,334,0.16
ORICONENT,31-Dec-24,"3,407.35",59.14,0.03
HTMEDIA,31-Dec-24,"32,651.00",657,0.28
HIGREEN,30-Sep-24,-,530.73,-
BPL,31-Dec-24,"1,945.36",30.76,0.06
KAMATHOTEL,31-Mar-25,"9,463.25","1,098.74",3.62
PTL,31-Mar-25,"1,612.71",875.45,0.66
SSDL,31-Dec-24,"18,327.40",788.3,1.99
ACCENTMIC,31-Mar-25,"14,197.53","1,659.61",7.89
RCOM,31-Dec-24,"6,700.00","-2,06,846.80",-0.26
CLEDUCATE,31-Mar-25,"6,628.24","-1,431.45",-1.51
MUTHOOTCAP,31-Mar-25,"14,037.86",642.16,3.9
HCL-INSYS,31-Dec-24,323,-546,-0.17
KCPSUGIND,31-Dec-24,"6,223.37","-4,198.62",-3.7
INDOUS,30-Sep-24,"2,218.78",435.95,2.16
KANORICHEM,31-Dec-24,"16,668.00","-1,970.00",-4.51
PREMIERPOL,31-Mar-25,"8,274.00",558,0.53
LAWSIKHO,30-Sep-24,-,586.41,-
SHIVAMAUTO,31-Mar-25,"10,854.87","-1,475.89",-0.2
VINSYS,30-Sep-24,-,423.33,-
INTLCONV,31-Mar-25,"5,459.00",-322,-0.51
IRISDOREME,31-Mar-25,"4,032.65",448.21,0.55
MODISONLTD,31-Dec-24,"12,134.98",580.99,1.79
BALAXI,31-Dec-24,"1,407.49",174.32,0.32
3IINFOLTD,31-Mar-25,"19,283.00","2,690.00",1.59
NAHARCAP,31-Dec-24,469.23,234.9,1.4
MAZDA,31-Dec-24,"4,698.48",742.32,3.71
ZIMLAB,31-Dec-24,"9,715.97",434.85,0.89
KILITCH,31-Mar-25,"5,862.88","1,137.41",7.07
GEEKAYWIRE,31-Mar-25,"13,050.23",737.48,1.41
DIAMINESQ,31-Dec-24,"1,843.67",115.5,1.18
SINCLAIR,31-Dec-24,"1,478.60",112.14,0.22
AXITA,31-Dec-24,"22,902.55",-122.04,-0.03
ASAHISONG,31-Mar-25,"10,907.12",922.97,7.83
MIRCELECTR,31-Dec-24,"16,939.00",-527,-0.23
TRF,31-Mar-25,"3,281.56",688.55,6.26
IFBAGRO,31-Dec-24,"42,474.00","1,204.00",12.85
UYFINCORP,31-Dec-24,"1,564.86",208.58,0.11
PROV,30-Sep-24,-,183.57,-
APCL,31-Dec-24,"8,376.00",-925,-3.15
SADBHAV,31-Dec-24,"3,817.38","-2,673.04",-1.56
SRD,31-Mar-25,"10,674.76",251.57,0.39
VALIANTLAB,31-Dec-24,"3,589.46",160.01,0.37
VIVIANA,31-Mar-25,"17,142.32","1,528.88",24.67
TEMBO,31-Dec-24,"13,662.68",786.88,7.09
ORIENTBELL,31-Dec-24,"16,131.72",86.62,0.59
MANAKCOAT,31-Mar-25,"20,984.88",503.35,0.68
FROG,30-Sep-24,-,513.37,-
NILAINFRA,31-Mar-25,"11,725.00",536.05,0.14
INSPIRISYS,31-Mar-25,"12,557.00","1,226.00",1.79
GOKUL,31-Dec-24,806.38,7.57,0.01
UTSSAV,30-Sep-24,-,987.41,-
BANSWRAS,31-Mar-25,"34,712.27",586.75,1.71
ALMONDZ,31-Dec-24,814,57,0.03
ELGIRUBCO,31-Dec-24,"5,119.33",-353.35,-0.71
UNIDT,31-Dec-24,"3,524.33",261.54,1.29
KOTHARIPRO,31-Dec-24,"6,111.00","1,600.00",5.36
RADIOCITY,31-Dec-24,"7,212.55",360.19,0.1
ORBTEXP,31-Mar-25,"5,167.54",660.65,2.5
MEGASOFT,31-Dec-24,"1,272.92",359.36,0.49
SHREEKARNI,30-Sep-24,-,486.71,-
LYKALABS,31-Dec-24,"3,379.54",269.85,0.75
SOFTTECH,31-Dec-24,"2,120.89",104.35,0.81
SRGHFL,31-Mar-25,"4,349.70",619.21,4.43
TRUST,30-Sep-24,-,515.76,-
AUTOIND,31-Dec-24,"15,682.00",123,0.31
LEMERITE,30-Sep-24,-,276.43,-
DYNPRO,31-Dec-24,"9,551.27",435.42,3.62
KAPSTON,31-Mar-25,"18,547.50",605.23,2.98
SWARAJ,30-Sep-24,-,985.44,-
,,,,
EUROBOND,31-Mar-22,-,889.79,-
ZTECH,30-Sep-24,-,534.94,-
OCCLLTD,31-Dec-24,"9,647.57",524.99,1.05
UFO,31-Dec-24,"12,009.00","1,280.00",3.31
DCI,31-Dec-24,"13,404.78",404.11,2.92
HARRMALAYA,31-Dec-24,"14,489.48","1,120.59",6.07
NILASPACES,31-Mar-25,"4,184.40",498.39,0.13
VSTL,31-Dec-24,"24,743.21",342.83,1.81
VARDHACRLC,31-Mar-25,"7,542.00",196,0.24
PHANTOMFX,30-Sep-24,-,838.43,-
BBTCL,31-Dec-24,"12,114.84",-632.48,-12.33
ESCONET,30-Sep-24,-,220.42,-
EIFFL,31-Dec-24,"4,776.00",175,0.71
VENUSREM,31-Dec-24,"17,428.00","2,408.00",18.02
VIPULLTD,31-Dec-24,"1,329.79",451.91,0.34
SHEMAROO,31-Mar-25,"19,926.15",-573.03,-2.1
VIESL,31-Mar-25,"25,530.47","1,953.11",9.16
SEJALLTD,31-Mar-25,"6,789.65",378.12,3.75
JETAIRWAYS,30-Jun-23,"3,908.00","-5,065.00",-4.46
NAMOEWASTE,30-Sep-24,-,"1,068.61",-
PRATHAM,30-Sep-24,-,872.06,-
RUBFILA,31-Dec-24,"11,846.91",656.6,1.21
SHREERAMA,31-Mar-25,"5,935.58","3,659.63",2.72
KOTARISUG,31-Dec-24,"8,556.29",540.49,0.65
AFIL,31-Mar-25,"2,927.25",754.5,8.28
APOLSINHOT,31-Mar-25,"14,045.70",215.87,8.3
KRISHCA,30-Sep-24,-,544.45,-
EMMIL,30-Sep-24,-,556.14,-
KRITIKA,31-Mar-25,"24,772.17",339.76,0.13
PRITIKAUTO,31-Mar-25,"10,267.59",443.09,0.19
SAKHTISUG,31-Dec-24,"14,064.86","-2,304.20",-1.94
MAWANASUG,31-Dec-24,"33,743.00","3,258.00",8.33
,,,,
,,,,
AIRAN,31-Dec-24,"2,060.08",136.65,0.11
BEWLTD,30-Sep-24,-,602.33,-
HITECHCORP,31-Dec-24,"12,396.96",143.05,0.83
PODDARMENT,31-Dec-24,"9,190.49",495.41,4.67
TBI,30-Sep-24,-,751.76,-
NIPPOBATRY,31-Dec-24,"12,340.34",63.18,0.84
DYNAMIC,30-Sep-21,-,82.69,-
NDGL,31-Dec-24,192.79,41.72,4.17
SAAKSHI,30-Sep-24,-,345.08,-
MANORG,31-Mar-25,"10,435.73",217.44,2.4
OBSCP,31-Mar-25,"7,679.36",949.44,3.88
PASUPTAC,31-Mar-25,"17,201.00","1,127.00",1.26
ATLANTAA,31-Mar-25,"2,802.64",933.11,1.14
PROZONER,31-Dec-24,482.2,98.17,0.06
KATARIA,30-Sep-24,-,532.16,-
MGEL,31-Mar-25,"54,280.15",518.74,0.16
DJML,31-Dec-24,"2,047.38",180.86,0.56
AVPINFRA,31-Mar-25,"17,950.00","2,034.13",8.14
CINELINE,31-Mar-25,"5,617.05","-1,247.08",-3.56
DCMNVL,31-Dec-24,"26,417.00",221,1.18
MANOMAY,31-Mar-25,"17,978.19",332.94,1.84
SCPL,31-Dec-24,"5,103.75",214.25,2.04
BRNL,31-Mar-25,352.93,-151.69,-0.18
PONNIERODE,31-Mar-25,"9,626.00",453,5.27
ABAN,31-Dec-24,"3,700.50",-349.4,-0.59
EMAMIREAL,31-Dec-24,"6,696.00","-1,938.00",-5.12
NEPHROCARE,31-Mar-24,-,76.47,-
EXXARO,31-Dec-24,"7,913.97",90.79,0.02
ABINFRA,31-Dec-24,"7,541.38",527.23,0.99
CHAVDA,30-Sep-24,-,928.8,-
NATHBIOGEN,31-Mar-25,"5,341.07",470.92,-
TCL,30-Sep-24,-,536.86,-
RUCHIRA,31-Dec-24,"16,945.37","1,647.93",5.52
MANAKSTEEL,31-Dec-24,"14,233.58",266.77,0.41
TIRUPATIFL,31-Mar-25,"2,793.19",129.73,0.11
UCAL,31-Dec-24,"16,668.70","1,807.92",8.18
UNIVPHOTO,31-Dec-24,946,458,4.19
OSIAHYPER,31-Dec-24,"40,843.49",901.39,0.68
SINTERCOM,31-Mar-25,"2,414.71",4.72,0.02
LAL,31-Dec-24,"1,298.28",-162.44,0.09
ESSENTIA,31-Dec-24,"12,641.02",108.6,0.01
TRU,31-Dec-24,"5,263.70",123.02,0.11
SIGMA,31-Dec-24,810.72,109.36,1.05
SAHYADRI,31-Dec-24,"13,167.40",76.1,0.7
MEDICO,31-Mar-25,"4,159.63",434.1,0.52
GLOBALVECT,31-Dec-24,"14,445.28",-299.79,-2.14
SUMIT,31-Dec-24,"2,662.16",100.21,0.24
IVC,31-Dec-24,370.74,141.23,0.05
BAHETI,31-Mar-25,"26,716.10","1,098.93",10.6
JAYSREETEA,31-Mar-25,"19,248.00","3,146.00",11.08
WINSOL,30-Sep-24,-,504.2,-
PURVFLEXI,30-Sep-24,-,405.64,-
SHIVAUM,30-Sep-24,-,751.25,-
GLOBAL,31-Mar-25,"1,716.41",427.66,0.83
INFINIUM,30-Sep-24,-,396.3,2.85
GUJAPOLLO,31-Dec-24,702.76,-0.03,-
ARIES,31-Dec-24,"16,247.90","1,180.04",9.07
SMSLIFE,31-Dec-24,"8,293.78",622.75,20.6
IEML,31-Mar-25,"4,999.79",631.62,5.43
ASIANHOTNR,31-Dec-24,"8,647.96","9,030.38",46.42
SKP,30-Sep-24,-,741.48,-
TRIGYN,31-Dec-24,"5,056.13",825.93,2.68
VIPCLOTHNG,31-Dec-24,"6,286.90",199.56,0.22
BYKE,31-Dec-24,"2,666.88",104.85,0.2
MWL,31-Mar-25,"32,456.07",847.77,2.85
NDLVENTURE,31-Mar-25,113.61,14,0.04
MKPL,31-Dec-24,"3,972.44",137.52,0.04
SUNDRMBRAK,31-Dec-24,"8,930.10",88.86,2.26
AVONMORE,31-Dec-24,26,-212,-0.09
GULFPETRO,31-Dec-24,"13,717.42",666.92,1.31
PLAZACABLE,31-Dec-24,"4,972.10",20.8,0.05
MAHEPC,31-Mar-25,"9,743.00",625,2.24
SYSTANGO,30-Sep-24,-,906.64,-
VARDMNPOLY,31-Dec-24,"7,851.42","2,406.28",0.68
BASML,31-Dec-24,"21,339.87",109.89,0.3
KARNIKA,30-Sep-24,-,"1,034.63",-
PARIN,31-Mar-25,"6,134.88",440.05,3.96
SHREYANIND,31-Dec-24,"17,176.12",910.29,6.58
PELATRO,31-Mar-25,"4,877.51",686.21,7.59
UMAEXPORTS,31-Dec-24,"47,624.52",120.94,0.36
,,,,
STARPAPER,31-Dec-24,"10,198.59",771.08,4.94
CCHHL,31-Dec-24,"1,195.98",-121.98,-0.07
LORDSCHLO,31-Dec-24,"6,551.76",126.64,0.5
GPECO,31-Mar-25,"16,359.58",556.99,4.84
DRCSYSTEMS,31-Dec-24,"1,061.70",99.8,0.08
ETML,30-Sep-24,-,555.5,-
RHL,31-Dec-24,"3,636.30",252.83,1.46
GOYALSALT,31-Mar-25,"6,257.88",392.11,2.19
BGRENERGY,31-Dec-24,"5,969.00","-34,309.00",-47.54
GOLDTECH,31-Dec-24,"2,318.20",-28.2,-0.08
RAMAPHO,31-Mar-25,"20,304.07",524.93,1.48
REPL,31-Dec-24,"2,790.40",492.72,2.83
SOUTHWEST,31-Dec-24,"4,846.36",347.77,1.25
SHYAMCENT,31-Dec-24,"3,431.26",6.33,-
COASTCORP,31-Dec-24,"18,155.84",123.38,0.92
NEWJAISA,31-Mar-24,-,342.1,-
TREJHARA,31-Dec-24,343.54,46.54,0.32
KMSUGAR,31-Dec-24,"16,716.00","1,264.00",1.37
RVHL,31-Dec-24,37.69,1.91,-
BROOKS,31-Dec-24,"2,054.30",93.65,0.36
KCEIL,31-Mar-25,"11,482.43",-,-
SPECTSTM,30-Sep-24,-,432.9,-
REFRACTORY,31-Mar-25,"3,559.68",310.68,1.43
WELINV,31-Dec-24,19.29,6.54,0.18
ABCOTS,31-Mar-22,-,293.79,3.64
RANASUG,31-Dec-24,"39,912.86","1,420.14",0.92
